date,coding_level2,product,reason,synnopsis,notes,store_number,store_number,city,state,brand_code,brand,ownership_type,duplicate
8/9/14,Pre-packaged drinks,Super Green,Expired,Customer stated that her Evoultion Fresh Super green was past the best taste by date on it and it has happened several times at surrounding stores.,,,,,,,,,
8/11/14,Pre-packaged drinks,Unknown,Expired,The customer said that he didn't realize that the drink was expired and feels like when they tried to get it resolved at the store no one seemed to care.,,,,,,,,,
8/11/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she bought a Evolution Fresh bottled drink and it was expired.,,,,,,,,,
8/11/14,Pre-packaged drinks,Smooth Greens,Bloated/Fermented/Spoiled,Customer stated that her Evolution Fresh Smooth Greens busted in her fridge.,,,,,,,,,
8/11/14,Pre-packaged drinks,PCW,Appearance,"Customer stated their PCW was a dirty pink lemonade color, not the usual pale yellow. The bottle info was exp date: 8/22 165047 13:15 COCPNWTR D. They purchased it at Harris Teeter in Ocean View, DE.",,,,,,,,,
8/11/14,Pre-packaged drinks,Unknown,Expired,Customer wanted to know if she can drink her juice that just expired.,,,,,,,,,
8/12/14,Pre-packaged drinks,Unknown,Expired,Partner stated that customer had a bottle of evolution fresh that he drank that was expired.,,,,,,,,,
8/12/14,Pre-packaged drinks,PCW,Expired,The customer stated that their 16 oz Evolution Fresh Pineapple Coconut juice expired four days prior to purchasing it.,,,,,,,,,
8/13/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer stated they purchased 5 Orange evolution fresh drinks that tasted watery.,,,,,,,,,
8/13/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she bought a Evolution Fresh bottled drink and it was expired.,,,,,,,,,
8/13/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,"Customer stated they purchased 3 Juices on 8/11, and they tried them on 8/12 and they tasted slightly off. They cannot return them where they purchased them from, and they wanted to let us know. They had Spriulina, Green Juice.",,,,,,,,,
8/13/14,Pre-packaged drinks,PCW,Illness/Injury/Allergic Reaction,Customer stated they consumed Evolution Fresh Pinapple coacoa nut Drink and began feeling ill almost immidiatly.,,,,,,,,,
8/14/14,Pre-packaged drinks,Ginger Limeade,Bad Odor,Customer stated four of his Ginger Limeades had a bad smell when he opened the bottles.,,,,,,,,,
8/14/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,Customer stated he tried two bottles of the Coconut Pineapple water and he said they were both sour tasting.,,,,,,,,,
8/14/14,Pre-packaged drinks,Unknown,Bad Odor,Customer replied back to email with address but no bottle information.,,,,,,,,,
8/14/14,Pre-packaged drinks,Organic Apple,Expired,"Customer has an Evolution Fresh organic apple and it is past the best taste by date, he wants to know if he can consume it.  Lot Code: 164031, best taste by date 8/10/2014",,,,,,,,,
8/15/14,Pre-packaged drinks,Unknown,Expired,Customer stated they purchsed two Juices at a store on 8/11 and went to drink the second one today now realizing the expiration date was 8/8. They would like to exchange for a new juice.,,,,,,,,,
8/17/14,Pre-packaged drinks,Unknown,Expired,The csutoemr stated that they purchased two Evolution Fresh juices on 8/15/14 and they had expired on 8/13/14 according to the bottle.,,,,,,,,,
8/18/14,Pre-packaged drinks,PCW,Expired,Customer stated that she purchased a bottle of Evolution Fresh Coconut/Pineapple water that has already expired.,,,,,,,,,
8/18/14,Pre-packaged drinks,PCW,Expired,Customer bought a Evolution Fresh PCW and it was best by date was on 8/13.,,,,,,,,,
8/18/14,Pre-packaged drinks,Unknown,Foreign Object/Substance,Partner calling in an incident involving Evolution Fresh drink that had black gunk in the spout area of the drink.,,,,,,,,,
8/19/14,Pre-packaged drinks,Essential Greens,Illness/Injury/Allergic Reaction,"Customer stated she got ill off the Essential Greens juice and stated she got sweaty, dizzy, and nauseated.",,,,,,,,,
8/19/14,Pre-packaged drinks,Unknown,Expired,Customer stated she purchased two evolution fresh beverages and they were both passed the best by dates.,,,,,,,,,
8/20/14,Pre-packaged drinks,Essential Greens,Illness/Injury/Allergic Reaction,"Customer stated she got ill off the Essential Greens juice and stated she got sweaty, dizzy, and nauseated.",,,,,,,,,
8/20/14,Pre-packaged drinks,PCW,Expired,Customer stated that she purchased the PCW and realized it was six days past the best taste by date.,,,,,,,,,
8/20/14,Pre-packaged drinks,SGL,Bad Taste / Flavor,Customer purchased sweet greens an lemon.   Customer states it tasted bad i.e. bad flavor and bitter.  Problems with the work flow and could not finish the flow.,,,,,,,,,
8/20/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she bought a Evolution Fresh bottled drink and it was expired.,,,,,,,,,
8/20/14,Pre-packaged drinks,Unknown,Expired,"Customer stated they purchased an expired Evolution Fresh Juice, they went back. The store gave them a coupon and removed the other expired beverages.",,,,,,,,,
8/20/14,Pre-packaged drinks,Orange,Foreign Object/Substance,Customer stated she bought a Evolution Fresh Orange and there were black spots all over the rim of the bottle and inside the bottle.,,,,,,,,,
8/21/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,"Customer stated they found the Sweet Greens and Lemon very disagreeable, and even had a friend try it and their facial expression mirrored how the customer felt.",,,,,,,,,
8/21/14,Pre-packaged drinks,Apple Berry,Illness/Injury/Allergic Reaction,"Customer stated they had an allergic reaction to the Apple Berry Juice because of the banana puree. They are anaphlactyic to bananas, and would like that information disclosed on the front of the bottle.",,,,,,,,,
8/22/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,"Customer states their Evolution drink was frozen, after letting it thaw for 90 minutes there was still a frozen core, they attempted to drink it, however the taste was so unpleasant they threw it away.",,,,,,,,,
8/22/14,Pre-packaged drinks,Ginger,Bloated/Fermented/Spoiled,Partner said the Google Store Juice Bars found bad juices. Partner said the Ginger juice was set to 8/25 as Best Taste By Date. Partner said that the product was bloated and the taste was sour.,,,,,,,,,
8/24/14,Pre-packaged drinks,Orange,Expired,The customer statse that she consumed a expired Orange.,,,,,,,,,
8/26/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer stated they purchased 2 Bottles of Evolution Fresh Orange Cherry Mango from Ross but they tasted stale.,,,,,,,,,
8/26/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she purchased an Evolution Fresh juice drink that expired on 8/25.,,,,,,,,,
8/26/14,Pre-packaged drinks,Unknown,Expired,Customer said she bought an evolution fresh drink. She said she realized that the best taste by date says 08/22 and wants to know how long it's good for after that date.,,,,,,,,,
8/27/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Caller said she tried the Apple Berry from Starbucks and it was bitter.,,,,,,,,,
8/27/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Caller tried Sweet Greens W Lemon the next day and it was still sour.,,,,,,,,,
8/28/14,Pre-packaged drinks,Unknown,Expired,Custoemr states the juice they bought was past it's sellby date.,,,,,,,,,
8/28/14,Pre-packaged drinks,PCW,Expired,Customer purchased a pine apple coconut beverage with the date 8/19/2014.,,,,,,,,,
8/28/14,Pre-packaged drinks,PCW,Expired,Customer wants to know if the pine apple coconut water is still good.,,,,,,,,,
8/28/14,Pre-packaged drinks,Unknown,Bad Odor,Customer states that her drinks smell moldy.,,,,,,,,,
8/29/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer tried organic carrot apple 8 oz. and states lime made it taste bad.  Customer states it is sour.,,,,,,,,,
8/29/14,Pre-packaged drinks,SGL,Expired,Customer states that on Monday he purchased a bottle of Evolution Fresh Sweet Greens Juice. He states that he noticed that the beverage did not taste right and he states that the best taste by date on the bottle had past by a few days.,,,,,,,,,
8/29/14,Pre-packaged drinks,OCM,Bad Taste/Flavor,Customer stated that the Orange Mango Carrot Juice tasted old.,,,,,,,,,
8/31/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer said he bought about 12 of the Sweet greens and lemon evolution fresh bottles and one of the bottles,,,,,,,,,
9/2/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she bought a Evolution Fresh bottled drink and it was expired.,,,,,,,,,
9/2/14,Pre-packaged drinks,Unknown,Expired,Customer purchased an Evolution Fresh juice from Starbucks that was expired and wondered if it was safe to drink.,,,,,,,,,
9/2/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she bought a Evolution Fresh bottled drink and it was expired.,,,,,,,,,
9/2/14,Pre-packaged drinks,Unknown,Expired,Customer stated that the Super Green Juice she purchased at Starbucks was past its expiration date.,,,,,,,,,
9/3/14,Pre-packaged drinks,PCW,Expired,Customer said their Evolution Fresh PCW tasted very sour due to an old expiration date of 08/06/2014,,,,,,,,,
9/3/14,Pre-packaged drinks,Super Green,Expired,Customer stated that the Super Green Juice she purchased at Starbucks was past its expiration date.,,,,,,,,,
9/3/14,Pre-packaged drinks,Unknown,Expired,Customer stated that the juices that they purchased are expired.,,,,,,,,,
9/4/14,Pre-packaged drinks,Unknown,Bloated/Fermented/Spoiled,Partner wrote in stating that EF juice had fermented.,,,,,,,,,
9/4/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,"Customer states they tried the Essential Greens and Lime juice for the first time and it left a very bitter taste in their mouth. Best By date 9/6/14, Lot Code # 165709 18 06  ESNTLEGRN C",,,,,,,,,
9/7/14,Pre-packaged drinks,Super Green,Expired,Customer stated they purchase a evolution fresh super green and expired on 09/01. Customer stated they called location were it was purchase and store partner said thanks for calling and hung up on customer,,,,,,,,,
9/7/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,"Customer stated the Sweet Greens and Lemon juice was terrible. It has way too much celery, and made them feel sick. They had to throw it away, and was bummed out to waste money.",,,,,,,,,
9/8/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer stated that the sweet greens with lemon was way too sour.,,,,,,,,,
9/8/14,Pre-packaged drinks,Unknown,Bad Odor,,,,,,,,,,
9/11/14,Pre-packaged drinks,Unknown,Expired,Customer stated she bought three Evolution Fresh juices and noticed they were two days past the Best Taste By Date.  Customer wanted to know if they were still good to drink.,,,,,,,,,
9/11/14,Pre-packaged drinks,Unknown,Expired,Customer stated that the juices that they purchased are expired.,,,,,,,,,
9/11/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,"Customer stated they really enjoy our Jucies, however they recently picked up a bunch of them. 3 of them smelled bad and were bitter. Barcode 62357992055 Best by: Sept 17 2014 165879 08:06.",,,,,,,,,
9/11/14,Pre-packaged drinks,Unknown,Damaged Package,Customer stated that they like the juice but it is a little sweet but the inner lip is almost sharp and very uncomfortable against their mouth.,,,,,,,,,
9/14/14,Pre-packaged drinks,Super Green,Expired,Customer states they wanted to inform Starbucks to check the dates of their Bottled drinks because they bought a Evolution Fresh Super Green drink,,,,,,,,,
9/12/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer stated that they they purchased 7 bottles of Evolution Fresh juices and all of them had a bitter taste.,,,,,,,,,
9/15/14,Pre-packaged drinks,PCW,Expired,"Customer stated and sent a picture of a bottle of PCW that expired September 6, 2014.",,,,,,,,,
9/14/14,Pre-packaged drinks,SGL,Expired,Customer purchased an evolution Fresh Cold Pressed Greens with lemon and the best taste by date was last week.,,,,,,,,,
9/15/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer purchased the Sweet Greens and Lemon and it tasted bitter.,,,,,,,,,
9/16/14,Pre-packaged drinks,Defense Up,Bloated/Fermented/Spoiled,The customer stated he bought an Evolution Fresh Defense up juice and stated it was spoiled.  Customer also stated he got an allergic reaction from the juice as well due to the spoiled juice.,,,,,,,,,
9/16/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Taste was gross. He stated the apple and lemon was not good together.,,,,,,,,,
9/17/14,Pre-packaged drinks,Unknown,Expired,Customer said their juice was expired.,,,,,,,,,
9/17/14,Pre-packaged drinks,Defense Up,Illness/Injury/Allergic Reaction,The customer stated he bought an Evolution Fresh Defense up juice and stated it was spoiled.  Customer also stated he got an allergic reaction from the juice as well due to the spoiled juice.,,,,,,,,,
9/17/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,Customer states that a bottle of Essentials Greens juice they bought tasted sour and they threw it out.,,,,,,,,,
9/17/14,Pre-packaged drinks,Unknown,Expired,Customer states the juice they bought was four days past the enjoy By date.,,,,,,,,,
9/18/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer stated that she could not drink the juices because they taste bad.,,,,,,,,,
9/19/14,Pre-packaged drinks,PCW,Illness/Injury/Allergic Reaction,The customer stated he bought two Coconut Pineapple waters and it did not taste of pineapple and it also made them sick.,,,,,,,,,
9/19/14,Pre-packaged drinks,Unknown,Expired,Customer says they picked up an evolution juice and it had been expired.,,,,,,,,,
9/22/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer states they tried the Carrot Apple juice and it tasted off.,,,,,,,,,
9/22/14,Pre-packaged drinks,Super Green,Expired,"Customer states they bought 2 Super Green Evolution Fresh beverages and they were ""expired"".",,,,,,,,,
9/22/14,Pre-packaged drinks,Unknown,Expired,Customer stated that a bottle she purchased was past its expiration date.,,,,,,,,,
9/23/14,Pre-packaged drinks,Orange,Foreign Object/Substance,"The customer stated he was drinking the Orange when something hit is lip, when he looked inside their was a dead bumble bee inside.",,,,,,,,,
9/23/14,Pre-packaged drinks,Unknown,Expired,The customer stated she bought two Evolution Fresh juices and one was expired and the other will expire in a few days.,,,,,,,,,
9/23/14,Pre-packaged drinks,Protein,Expired,"Caller bought the Protein yesterday from SProuts on 878 E Lake Parkway and it was dated 09/14. She took a sip., This has happened before.",,,,,,,,,
9/25/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer states the juice tasted like plastic and they had to throw it out. Customer suggests the bottles be switched to glass instead of plastic.,,,,,,,,,
9/25/14,Pre-packaged drinks,Coconut Water W/ Greens,Foreign Object/Substance,Customer states they bought a bottle of Coconut Water with Greens and after taking a few sips they foud a small soft piece of plastic in their mouth. Customer states it was like th plastic from a bag.,,,,,,,,,
9/25/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer states they bought 6 juices from a local grocery store and when they went to drink one it tasted odd. They looked and it was seven days past the expiration date.,,,,,,,,,
9/25/14,Pre-packaged drinks,Unknown,Expired,Customer is wondering if it is ok to drink juice that is 2 days over the expiration date.,,,,,,,,,
9/25/14,Pre-packaged drinks,Super Greens,Expired,Caller bought the Super Greens and it is dated now. She wants to know what will happen if her daughter drinks it this weekend.,,,,,,,,,
9/28/14,Pre-packaged drinks,Essential Greens,Expired,Customer states they bought a Essential Greens with Lime and it tasted tangy and when they looked the best by date was 9/26 the same day they bought the juice.,,,,,,,,,
9/29/14,Pre-packaged drinks,Unknown,Expired,Customer stated that all three of the juices that she purchased had just expired.,,,,,,,,,
9/29/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,She bought three juices from the Publix off 540A in Lakeland and the were bitter and grainy.,,,,,,,,,
9/29/14,Pre-packaged drinks,Orange,Bloated/Fermented/Spoiled,Customer stated that her 64 oz Orang Juice was distended and it was before the best buy date.,,,,,,,,,
9/29/14,Pre-packaged drinks,SGL,Expired,She has Sweet Greens w Lemon bought today but dated 09/28 from this location. She has drank half. This happened at another location with product dated older.,,,,,,,,,
9/30/14,Pre-packaged drinks,Apple Berry,Expired,Customer said they ordered an Apple Berry Evolution Juice and it was expired.,,,,,,,,,
